算法子单编号,算法母单编号,交易日期,市场类别,资金账户名称,算法类型,算法实例,算法供应商,证券代码,委托类型,买卖方向,委托价格,委托数量,委托时间,成交价格,成交数量,成交时间,委托状态,手续费
2350260602067742721,6880872434086000061,20230614,1,7027,0,103,多策略,599,1,1,4.21,100,20230614093000,4.21,100,20230614093000,4,0.01
2350260602067742723,6880872434086000012,20230614,1,7027,0,103,多策略,60,1,2,4.91,200,20230614093000,4.91,200,20230614093000,4,1.0
2350260602067742722,6880872434086000032,20230614,1,7027,0,103,多策略,488,1,2,4.87,900,20230614093000,0.0,0,20230614093000,5,4.47
2350260602067742724,6880872434086000033,20230614,1,7027,0,103,多策略,506,1,1,4.06,4700,20230614093000,4.06,4700,20230614093000,4,0.38
2350260670787219460,6880872434086000067,20230614,1,7027,0,103,多策略,630,1,2,2.91,2000,20230614093000,2.91,2000,20230614093000,4,5.94
2350260670787219466,6880872434086000092,20230614,1,7027,0,103,多策略,750,1,2,3.4,2400,20230614093000,3.4,2400,20230614093000,4,8.32
2350260670787219462,6880872434086000042,20230614,1,7027,0,103,多策略,536,1,2,1.84,100,20230614093000,0.0,0,20230614093000,5,0.19
2350260739506696193,6880872434086000040,20230614,1,7027,0,103,多策略,533,1,1,4.19,300,20230614093001,4.19,300,20230614093001,4,0.03
2350260739506696198,6880872434086000026,20230614,1,7027,0,103,多策略,413,1,2,1.69,6100,20230614093001,1.69,6100,20230614093001,4,10.52
2350260739506696199,6880872434086000095,20230614,1,7027,0,103,多策略,757,1,1,4.07,100,20230614093001,0.0,0,20230614093001,5,0.01
2350260808226172933,6880872434086000052,20230614,1,7027,0,103,多策略,563,1,2,3.13,6000,20230614093000,3.13,6000,20230614093000,4,19.16
2350260808226172931,6880872434086000036,20230614,1,7027,0,103,多策略,518,1,2,2.62,100,20230614093000,0.0,0,20230614093000,5,0.27
2350260808226172936,6880872434086000099,20230614,1,7027,0,103,多策略,766,1,2,4.79,500,20230614093000,0.0,0,20230614093000,5,2.44
2350260876945649664,6880872434086000063,20230614,1,7027,0,103,多策略,608,1,1,2.77,1100,20230614093000,0.0,0,20230614093000,5,0.06
2350260808226172937,6880872434086000029,20230614,1,7027,0,103,多策略,420,1,2,3.39,1000,20230614093001,0.0,0,20230614093001,5,3.46
2350260876945649669,6880872434086000100,20230614,1,7027,0,103,多策略,778,1,1,4.14,2800,20230614093001,4.14,2800,20230614093001,4,0.23
2350260876945649670,6880872434086000080,20230614,1,7027,0,103,多策略,698,1,2,3.99,100,20230614093000,0.0,0,20230614093000,5,0.41
2350260876945649673,6880872434086000117,20230614,1,7027,0,103,多策略,850,1,2,3.86,100,20230614093001,0.0,0,20230614093001,5,0.39
2350260945665126400,6880872434086000066,20230614,1,7027,0,103,多策略,629,1,1,3.86,1100,20230614093000,3.86,1100,20230614093000,4,0.08
2350260945665126401,6880872434086000050,20230614,1,7027,0,103,多策略,558,1,2,3.31,9000,20230614093000,3.33,9000,20230614093000,4,30.39
2350261014384603136,6880872434086000071,20230614,1,7027,0,103,多策略,639,1,2,4.17,600,20230614093000,0.0,0,20230614093000,5,2.55
2350261014384603139,6880872434086000073,20230614,1,7027,0,103,多策略,652,1,1,4.08,300,20230614093000,0.0,0,20230614093000,5,0.02
2350261014384603140,6880872434086000068,20230614,1,7027,0,103,多策略,631,1,2,2.91,800,20230614093001,2.91,800,20230614093001,4,2.37
2350261083104079874,6880872434086000086,20230614,1,7027,0,103,多策略,720,1,1,4.97,200,20230614093000,4.97,200,20230614093000,4,0.02
2350261151823556608,6880872434086000083,20230614,1,7027,0,103,多策略,709,1,2,2.27,9000,20230614093001,0.0,0,20230614093001,5,20.84
2350261151823556614,6880872434086000097,20230614,1,7027,0,103,多策略,759,1,1,4.69,800,20230614093000,4.69,800,20230614093000,4,0.08
2350261151823556611,6880872434086000154,20230614,1,7027,0,103,多策略,961,1,1,1.5,12500,20230614093001,0.0,0,20230614093001,9,0.38
