算法子单编号,算法母单编号,交易日期,市场类别,资金账户名称,算法类型,算法实例,算法供应商,证券代码,委托类型,买卖方向,委托价格,委托数量,委托时间,成交价格,成交数量,委托时间,委托状态,手续费
1030835234301000010,20838434203000072,2022-06-14,2,ruiyan1,1,103,多策略,601238,1,1,16.28,300,2022-06-1493141270,16.28,300,2022-06-1493141270,0,0.433211
1030835234301000011,20838434203000156,2022-06-14,2,ruifeng6,1,103,多策略,601238,1,1,16.28,1100,2022-06-1493141270,16.28,1100,2022-06-1493141270,0,1.58844
1030835234301000012,20838434204000040,2022-06-14,2,ruiding2,1,103,多策略,601238,1,1,16.28,400,2022-06-1493141270,16.28,400,2022-06-1493141270,0,0.577614
1030835234301000013,20838434205000068,2022-06-14,2,ruizeng8,1,103,多策略,601238,1,1,16.28,500,2022-06-1493141270,16.28,500,2022-06-1493141270,0,0.722018
1030835234301000014,20838434203000072,2022-06-14,2,ruiyan1,1,103,多策略,601238,1,1,16.29,700,2022-06-1493141772,16.29,700,2022-06-1493141772,0,1.011446
1030835234301000015,20838434203000156,2022-06-14,2,ruifeng6,1,103,多策略,601238,1,1,16.29,3800,2022-06-1493141772,16.29,3800,2022-06-1493141772,0,5.490707
1030835234301000016,20838434204000040,2022-06-14,2,ruiding2,1,103,多策略,601238,1,1,16.29,1100,2022-06-1493141772,16.29,1100,2022-06-1493141772,0,1.589415
1030835234301000017,20838434205000068,2022-06-14,2,ruizeng8,1,103,多策略,601238,1,1,16.29,1400,2022-06-1493141772,16.29,1400,2022-06-1493141772,0,2.022892
1030835234361000011,20838434203000072,2022-06-14,2,ruiyan1,1,103,多策略,601238,1,2,16.22,1000,2022-06-1493241805,16.22,1000,2022-06-1493241805,0,17.658714
1030835234361000012,20838434203000156,2022-06-14,2,ruifeng6,1,103,多策略,601238,1,2,16.22,4900,2022-06-1493241805,16.22,4900,2022-06-1493241805,0,86.527699
1030835234361000013,20838434204000040,2022-06-14,2,ruiding2,1,103,多策略,601238,1,2,16.22,1500,2022-06-1493241805,16.22,1500,2022-06-1493241805,0,26.488071
1030835234361000014,20838434205000068,2022-06-14,2,ruizeng8,1,103,多策略,601238,1,2,16.22,1900,2022-06-1493241805,16.22,1900,2022-06-1493241805,0,33.551557
1030835234403000018,20838434203000061,2022-06-14,2,ruiyan1,1,103,多策略,600536,1,1,39.91,300,2022-06-1493323425,39.91,300,2022-06-1493323425,0,1.062005
1030835234403000019,20838434203000145,2022-06-14,2,ruifeng6,1,103,多策略,600536,1,1,39.91,1600,2022-06-1493323426,39.91,1600,2022-06-1493323426,0,5.664027
1030835234403000020,20838434204000029,2022-06-14,2,ruiding2,1,103,多策略,600536,1,1,39.91,500,2022-06-1493323426,39.91,500,2022-06-1493323426,0,1.770008
1030835234403000021,20838434205000046,2022-06-14,2,ruizeng8,1,103,多策略,600536,1,1,39.91,600,2022-06-1493323426,39.91,600,2022-06-1493323426,0,2.12401
1030835234459000002,20838434203000031,2022-06-14,1,ruiyan1,1,103,多策略,002389,1,2,17.63,900,2022-06-1493419953,0.0,0,2022-06-1493419953,0,0.0
1030835234459000003,20838434203000115,2022-06-14,1,ruifeng6,1,103,多策略,002389,1,2,17.63,4600,2022-06-1493419953,0.0,0,2022-06-1493419953,0,0.0
1030835234459000004,20838434203000200,2022-06-14,1,ruiding2,1,103,多策略,002389,1,2,17.63,1400,2022-06-1493419953,0.0,0,2022-06-1493419953,0,0.0
1030835234459000005,20838434205000059,2022-06-14,1,ruizeng8,1,103,多策略,002389,1,2,17.63,1700,2022-06-1493419953,0.0,0,2022-06-1493419953,0,0.0
1030835234463000003,20838434203000061,2022-06-14,2,ruiyan1,1,103,多策略,600536,1,2,40.06,300,2022-06-1493423456,40.06,300,2022-06-1493423456,0,13.083997
1030835234463000004,20838434203000145,2022-06-14,2,ruifeng6,1,103,多策略,600536,1,2,40.06,1600,2022-06-1493423456,40.06,1600,2022-06-1493423456,0,69.781315
1030835234463000005,20838434204000029,2022-06-14,2,ruiding2,1,103,多策略,600536,1,2,40.06,500,2022-06-1493423456,40.06,500,2022-06-1493423456,0,21.806661
1030835234463000006,20838434205000046,2022-06-14,2,ruizeng8,1,103,多策略,600536,1,2,40.06,600,2022-06-1493423456,40.06,600,2022-06-1493423456,0,26.167993
1030835234517000000,20838434514000035,2022-06-14,1,ruifeng6,1,103,多策略,000536,1,2,1.96,100,2022-06-1493517120,0.0,0,2022-06-1493517120,0,0.0
1030835234517000004,20838434514000013,2022-06-14,1,ruiyan1,1,103,多策略,002506,1,2,3.28,2900,2022-06-1493517127,3.28,2900,2022-06-1493517127,0,10.355714
1030835234517000005,20838434514000016,2022-06-14,1,ruifeng6,1,103,多策略,002506,1,2,3.28,14600,2022-06-1493517127,3.28,14600,2022-06-1493517127,0,52.135666
1030835234517000006,20838434514000018,2022-06-14,1,ruiding2,1,103,多策略,002506,1,2,3.28,4600,2022-06-1493517127,3.28,4600,2022-06-1493517127,0,16.426306
1030835234517000007,20838434514000020,2022-06-14,1,ruizeng8,1,103,多策略,002506,1,2,3.28,5600,2022-06-1493517127,3.28,5600,2022-06-1493517127,0,19.997242
1030835234517000011,20838434514000001,2022-06-14,2,ruiyan1,1,103,多策略,600050,1,1,3.44,100,2022-06-1493517145,3.44,100,2022-06-1493517145,0,0.030513
1030835234517000012,20838434514000004,2022-06-14,2,ruifeng6,1,103,多策略,600050,1,1,3.44,100,2022-06-1493517145,3.44,100,2022-06-1493517145,0,0.030513
1030835234517000013,20838434514000008,2022-06-14,2,ruizeng8,1,103,多策略,600050,1,1,3.44,100,2022-06-1493517145,3.44,100,2022-06-1493517145,0,0.030513
