算法子单编号,算法母单编号,交易日期,市场类别,资金账户名称,算法类型,算法实例,算法供应商,证券代码,委托类型,买卖方向,委托价格,委托数量,委托时间,成交价格,成交数量,委托时间,委托状态,手续费
2350248645454919680,20875132397000043,202369,1,yytz_888867600047,0,103,多策略,003816,1,2,3.05,8100,20236993000675,0.0,0,20236993000675,0,0.0
2350249882405500937,20875132397000011,202369,1,yytz_888867600047,0,103,多策略,000750,1,2,3.42,7200,20236993000678,3.42,7200,20236993000678,0,26.561909
2350249951124977666,20875132397000005,202369,1,yytz_888867600047,0,103,多策略,000415,1,2,2.23,7900,20236993000679,0.0,0,20236993000679,0,0.0
2350250294722361344,20875132397000073,202369,2,yytz_888867600047,0,103,多策略,601003,1,2,4.15,300,20236993000682,4.15,300,20236993000682,0,1.342982
2350250432161314822,20875132397000061,202369,2,yytz_888867600047,0,103,多策略,600170,1,2,2.73,9300,20236993000684,2.73,9300,20236993000684,0,27.387114
2350317227492702208,20875132397000002,202369,1,yytz_888867600047,0,103,多策略,000048,1,1,20.33,300,20236993001618,20.3,300,20236993001618,0,0.479283
2350317571090085889,20875132397000071,202369,2,yytz_888867600047,0,103,多策略,600845,1,2,44.99,400,20236993001623,44.99,400,20236993001623,0,19.412285
2350592517716506624,20875132397000073,202369,2,yytz_888867600047,0,103,多策略,601003,1,2,4.15,200,20236993005624,4.15,200,20236993005624,0,0.895321
2350661237193242624,20875132397000062,202369,2,yytz_888867600047,0,103,多策略,600197,1,2,26.91,1100,20236993006624,0.0,0,20236993006624,0,0.0
2350935702783326208,20875132397000004,202369,1,yytz_888867600047,0,103,多策略,000409,1,1,8.66,2400,20236993010618,8.66,2400,20236993010618,0,1.635701
2350936183819663360,20875132397000094,202369,2,yytz_888867600047,0,103,多策略,603719,1,2,28.41,400,20236993010625,0.0,0,20236993010625,0,0.0
2351004765857445888,20875132397000073,202369,2,yytz_888867600047,0,103,多策略,601003,1,2,4.16,100,20236993011623,0.0,0,20236993011623,0,0.0
