算法子单编号,算法母单编号,交易日期,市场类别,资金账户名称,算法类型,算法实例,算法供应商,证券代码,委托类型,买卖方向,委托价格,委托数量,委托时间,成交价格,成交数量,委托时间,委托状态,手续费
6600527342000000000,6880527337660004300,20230601,2,202304181002,1,103,多策略,600691,1,2,3.08,4300,20230601093000,3.08,4300,20230601093000,4,14.29
6600527342000000100,6880527336830004500,20230601,2,202305181001,1,103,多策略,600691,1,2,3.08,1700,20230601093000,3.08,1700,20230601093000,4,5.65
6600527342000000200,6880527336830003100,20230601,2,202305181001,1,103,多策略,600578,1,2,3.76,2100,20230601093000,3.76,2100,20230601093000,4,8.52
6600527342000000300,6880527336830001900,20230601,1,202305181001,1,103,多策略,002042,1,2,3.18,800,20230601093000,0.0,0,20230601093000,5,0.0
6600527342000000400,6880527337660007900,20230601,1,202304181002,1,103,多策略,300477,1,1,4.55,1100,20230601093000,4.56,1100,20230601093000,4,0.39
6600527342000000500,6880527336830007900,20230601,1,202305181001,1,103,多策略,300477,1,1,4.55,300,20230601093000,4.56,300,20230601093000,4,0.11
6600527342000000600,6880527337660003900,20230601,2,202304181002,1,103,多策略,600578,1,2,3.76,10700,20230601093000,3.76,10700,20230601093000,4,43.4
6600527342000000700,6880527337660002100,20230601,1,202304181002,1,103,多策略,002042,1,2,3.18,4000,20230601093000,0.0,0,20230601093000,5,0.0
6600527342000000800,6880527337660004100,20230601,2,202304181002,1,103,多策略,600675,1,2,2.82,6300,20230601093000,2.82,6300,20230601093000,4,19.16
6600527342000000900,6880527336830003900,20230601,2,202305181001,1,103,多策略,600675,1,2,2.82,1000,20230601093000,2.82,1000,20230601093000,4,3.04
6600527342000001000,6880527336830000300,20230601,1,202305181001,1,103,多策略,000652,1,2,4.11,1900,20230601093000,0.0,0,20230601093000,5,0.0
6600527342000001100,6880527337660000300,20230601,1,202304181002,1,103,多策略,000652,1,2,4.11,9300,20230601093000,0.0,0,20230601093000,5,0.0
6600527342000001200,6880527337660005900,20230601,1,202304181002,1,103,多策略,000517,1,1,2.91,2800,20230601093000,2.91,2800,20230601093000,4,0.64
6600527342000001300,6880527336830005500,20230601,1,202305181001,1,103,多策略,000517,1,1,2.91,300,20230601093000,2.91,300,20230601093000,4,0.07
6600527342000001400,6880527336830001500,20230601,1,202305181001,1,103,多策略,002239,1,2,2.5,3100,20230601093000,2.51,3100,20230601093000,4,8.39
6600527342000001500,6880527337660001900,20230601,1,202304181002,1,103,多策略,002239,1,2,2.5,19200,20230601093000,2.51,19200,20230601093000,4,51.98
6600527342000001600,6880527336830003500,20230601,2,202305181001,1,103,多策略,600403,1,2,4.13,400,20230601093000,4.13,400,20230601093000,4,1.78
6600527342000001700,6880527337660003500,20230601,2,202304181002,1,103,多策略,600403,1,2,4.13,2400,20230601093000,4.13,2400,20230601093000,4,10.69
6600527342000001800,6880527336830002900,20230601,2,202305181001,1,103,多策略,600400,1,2,3.19,2900,20230601093000,3.19,2900,20230601093000,4,9.98
6600527342000001900,6880527337660003100,20230601,2,202304181002,1,103,多策略,600400,1,2,3.19,14800,20230601093000,3.19,14800,20230601093000,4,50.93
6600527342000002000,6880527337660000900,20230601,1,202304181002,1,103,多策略,000088,1,2,4.92,4500,20230601093000,4.92,4500,20230601093000,4,23.88
6600527342000002100,6880527336830006100,20230601,1,202305181001,1,103,多策略,002435,1,1,4.71,100,20230601093000,4.71,100,20230601093000,4,0.04
6600527342000002200,6880527336830002100,20230601,1,202305181001,1,103,多策略,002285,1,2,2.52,2400,20230601093000,2.52,2400,20230601093000,4,6.52
6600527342000002300,6880527337660001700,20230601,1,202304181002,1,103,多策略,002285,1,2,2.52,9200,20230601093000,2.52,9200,20230601093000,4,25.01
6600527342000002400,6880527336830001700,20230601,1,202305181001,1,103,多策略,002023,1,2,8.66,400,20230601093000,8.66,400,20230601093000,4,3.74
6600527342000002500,6880527337660006300,20230601,1,202304181002,1,103,多策略,002435,1,1,4.71,300,20230601093000,4.71,300,20230601093000,4,0.11
6600527342000002600,6880527337660001300,20230601,1,202304181002,1,103,多策略,002023,1,2,8.66,1400,20230601093000,8.66,1400,20230601093000,4,13.08
6600527342000002700,6880527336830008700,20230601,2,202305181001,1,103,多策略,600577,1,1,4.17,300,20230601093000,4.17,300,20230601093000,4,0.1
6600527342000002800,6880527336830003700,20230601,2,202305181001,1,103,多策略,600120,1,2,3.9,700,20230601093000,3.9,700,20230601093000,4,2.94
6600527342000002900,6880527337660008900,20230601,2,202304181002,1,103,多策略,600577,1,1,4.17,2200,20230601093000,4.17,2200,20230601093000,4,0.72
6600527342000003000,6880527337660003300,20230601,2,202304181002,1,103,多策略,600120,1,2,3.9,7100,20230601093000,3.9,7100,20230601093000,4,29.87
6600527342000003100,6880527336830004100,20230601,2,202305181001,1,103,多策略,600688,1,2,3.15,600,20230601093000,3.15,600,20230601093000,4,2.04
6600527342000003200,6880527337660004500,20230601,2,202304181002,1,103,多策略,600688,1,2,3.15,4600,20230601093000,3.15,4600,20230601093000,4,15.63
6600527342020000000,6880527337660000900,20230601,1,202304181002,1,103,多策略,000088,1,2,4.93,200,20230601093002,4.93,200,20230601093002,4,1.06
6600527342020000100,6880527336830000100,20230601,1,202305181001,1,103,多策略,000088,1,2,4.93,100,20230601093002,4.93,100,20230601093002,4,0.53
6600527342020000200,6880527337660007700,20230601,1,202304181002,1,103,多策略,300457,1,1,17.51,2400,20230601093002,17.51,2400,20230601093002,4,3.31
6600527342020000300,6880527336830005500,20230601,1,202305181001,1,103,多策略,000517,1,1,2.91,200,20230601093002,2.91,200,20230601093002,4,0.05
6600527342020000400,6880527336830001500,20230601,1,202305181001,1,103,多策略,002239,1,2,2.52,200,20230601093002,2.52,200,20230601093002,4,0.54
6600527342020000500,6880527337660005900,20230601,1,202304181002,1,103,多策略,000517,1,1,2.91,1200,20230601093002,2.91,1200,20230601093002,4,0.27
6600527342020000600,6880527337660001900,20230601,1,202304181002,1,103,多策略,002239,1,2,2.52,1000,20230601093002,2.52,1000,20230601093002,4,2.72
6600527342020000700,6880527336830003500,20230601,2,202305181001,1,103,多策略,600403,1,2,4.13,100,20230601093002,4.13,100,20230601093002,4,0.45
6600527342020000800,6880527337660003500,20230601,2,202304181002,1,103,多策略,600403,1,2,4.13,200,20230601093002,4.13,200,20230601093002,4,0.89
