算法母单编号,交易日期,资金账户名称,算法类型,算法实例,算法供应商,任务数,证券代码,市场类别,买卖方向1,买卖方向2,开始时间,结束时间,下单时间
6880872434086000001,20230614,7027,0,103,多策略,73500,10,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000002,20230614,7027,0,103,多策略,200,12,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000003,20230614,7027,0,103,多策略,400,14,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000004,20230614,7027,0,103,多策略,4000,27,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000005,20230614,7027,0,103,多策略,900,28,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000006,20230614,7027,0,103,多策略,100100,30,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000007,20230614,7027,0,103,多策略,29500,31,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000008,20230614,7027,0,103,多策略,7600,32,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000009,20230614,7027,0,103,多策略,200,39,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000010,20230614,7027,0,103,多策略,600,50,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000011,20230614,7027,0,103,多策略,600,55,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000012,20230614,7027,0,103,多策略,1300,60,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000013,20230614,7027,0,103,多策略,14700,63,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000014,20230614,7027,0,103,多策略,39000,66,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000015,20230614,7027,0,103,多策略,200,88,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000016,20230614,7027,0,103,多策略,2400,89,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000017,20230614,7027,0,103,多策略,55000,100,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000018,20230614,7027,0,103,多策略,38300,156,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000019,20230614,7027,0,103,多策略,30200,157,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000020,20230614,7027,0,103,多策略,8700,333,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000021,20230614,7027,0,103,多策略,53900,338,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000022,20230614,7027,0,103,多策略,2400,402,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000023,20230614,7027,0,103,多策略,500,403,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000024,20230614,7027,0,103,多策略,4500,404,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000025,20230614,7027,0,103,多策略,29800,409,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000026,20230614,7027,0,103,多策略,17400,413,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000027,20230614,7027,0,103,多策略,1700,415,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000028,20230614,7027,0,103,多策略,45400,417,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000029,20230614,7027,0,103,多策略,4700,420,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000030,20230614,7027,0,103,多策略,79700,425,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000031,20230614,7027,0,103,多策略,52500,426,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000032,20230614,7027,0,103,多策略,900,488,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000033,20230614,7027,0,103,多策略,45600,506,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000034,20230614,7027,0,103,多策略,46000,514,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000035,20230614,7027,0,103,多策略,130300,517,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000036,20230614,7027,0,103,多策略,35500,518,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000037,20230614,7027,0,103,多策略,24200,521,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000038,20230614,7027,0,103,多策略,71300,523,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000039,20230614,7027,0,103,多策略,30600,531,1,2,,20230614093000,20230614140000,20230614093000
