accountS,symbol,security_type,order_type,strategy_alias,note
-1,-1,-1,-1,103,Defult
-1,000910.SZ,-1,101|102,104,
-1,002267.SZ,-1,101|102,104,
-1,300103.SZ,-1,101|102,104,
-1,300573.SZ,-1,101|102,104,
-1,000930.SZ,-1,101|102,104,
-1,002027.SZ,-1,101|102,104,
-1,002294.SZ,-1,101|102,104,
-1,300683.SZ,-1,101|102,104,
-1,300530.SZ,-1,101|102,104,
-1,300820.SZ,-1,101|102,104,
-1,300856.SZ,-1,101|102,104,
-1,300908.SZ,-1,101|102,104,
-1,002484.SZ,-1,101|102,104,
-1,300003.SZ,-1,101|102,104,
-1,300286.SZ,-1,101|102,104,
-1,301031.SZ,-1,101|102,104,
-1,000403.SZ,-1,101|102,104,
-1,000789.SZ,-1,101|102,104,
-1,002099.SZ,-1,101|102,104,
-1,002154.SZ,-1,101|102,104,
-1,002595.SZ,-1,101|102,104,
-1,002793.SZ,-1,101|102,104,
-1,002718.SZ,-1,101|102,104,
-1,002956.SZ,-1,101|102,104,
-1,003006.SZ,-1,101|102,104,
-1,300596.SZ,-1,101|102,104,
-1,300996.SZ,-1,101|102,104,
-1,000596.SZ,-1,101|102,104,
-1,002025.SZ,-1,101|102,104,
-1,002244.SZ,-1,101|102,104,
-1,002293.SZ,-1,101|102,104,
-1,002461.SZ,-1,101|102,104,
-1,300798.SZ,-1,101|102,104,
-1,002203.SZ,-1,101|102,104,
-1,002429.SZ,-1,101|102,104,
-1,300855.SZ,-1,101|102,104,
-1,300938.SZ,-1,101|102,104,
-1,301150.SZ,-1,101|102,104,
-1,301336.SZ,-1,101|102,104,
-1,002032.SZ,-1,101|102,104,
-1,002430.SZ,-1,101|102,104,
-1,002465.SZ,-1,101|102,104,
-1,300281.SZ,-1,101|102,104,
-1,300886.SZ,-1,101|102,104,
-1,301003.SZ,-1,101|102,104,
-1,301333.SZ,-1,101|102,104,
-1,002381.SZ,-1,101|102,104,
-1,002901.SZ,-1,101|102,104,
-1,003041.SZ,-1,101|102,104,
-1,300385.SZ,-1,101|102,104,
-1,000028.SZ,-1,101|102,104,
-1,002044.SZ,-1,101|102,104,
-1,002318.SZ,-1,101|102,104,
-1,002367.SZ,-1,101|102,104,
-1,002942.SZ,-1,101|102,104,
-1,300876.SZ,-1,101|102,104,
-1,301113.SZ,-1,101|102,104,
-1,000425.SZ,-1,101|102,104,
-1,000690.SZ,-1,101|102,104,
-1,002387.SZ,-1,101|102,104,
-1,002884.SZ,-1,101|102,104,
-1,002648.SZ,-1,101|102,104,
-1,300470.SZ,-1,101|102,104,
-1,300717.SZ,-1,101|102,104,
-1,301035.SZ,-1,101|102,104,
-1,002399.SZ,-1,101|102,104,
-1,002478.SZ,-1,101|102,104,
-1,002841.SZ,-1,101|102,104,
-1,002832.SZ,-1,101|102,104,
-1,300314.SZ,-1,101|102,104,
-1,301188.SZ,-1,101|102,104,
-1,002016.SZ,-1,101|102,104,
-1,300316.SZ,-1,101|102,104,
-1,301070.SZ,-1,101|102,104,
-1,301206.SZ,-1,101|102,104,
-1,301080.SZ,-1,101|102,104,
-1,301363.SZ,-1,101|102,104,
-1,000521.SZ,-1,101|102,104,
-1,002851.SZ,-1,101|102,104,
-1,002978.SZ,-1,101|102,104,
-1,300034.SZ,-1,101|102,104,
-1,300417.SZ,-1,101|102,104,
-1,300487.SZ,-1,101|102,104,
-1,002028.SZ,-1,101|102,104,
-1,002563.SZ,-1,101|102,104,
-1,300395.SZ,-1,101|102,104,
-1,300865.SZ,-1,101|102,104,
-1,300986.SZ,-1,101|102,104,
-1,301047.SZ,-1,101|102,104,
-1,002064.SZ,-1,101|102,104,
-1,002967.SZ,-1,101|102,104,
-1,300910.SZ,-1,101|102,104,
-1,301051.SZ,-1,101|102,104,
-1,001215.SZ,-1,101|102,104,
-1,002847.SZ,-1,101|102,104,
-1,300832.SZ,-1,101|102,104,
-1,300298.SZ,-1,101|102,104,
-1,300396.SZ,-1,101|102,104,
-1,301263.SZ,-1,101|102,104,
-1,000528.SZ,-1,101|102,104,
-1,002850.SZ,-1,101|102,104,
-1,002991.SZ,-1,101|102,104,
-1,300833.SZ,-1,101|102,104,
-1,300923.SZ,-1,101|102,104,
-1,301015.SZ,-1,101|102,104,
-1,002078.SZ,-1,101|102,104,
-1,002327.SZ,-1,101|102,104,
-1,002694.SZ,-1,101|102,104,
-1,003012.SZ,-1,101|102,104,
-1,300408.SZ,-1,101|102,104,
-1,301019.SZ,-1,101|102,104,
-1,301105.SZ,-1,101|102,104,
-1,000877.SZ,-1,101|102,104,
-1,002014.SZ,-1,101|102,104,
-1,002262.SZ,-1,101|102,104,
-1,002270.SZ,-1,101|102,104,
-1,002541.SZ,-1,101|102,104,
-1,002774.SZ,-1,101|102,104,
-1,300492.SZ,-1,101|102,104,
-1,300920.SZ,-1,101|102,104,
-1,002003.SZ,-1,101|102,104,
-1,002088.SZ,-1,101|102,104,
-1,002221.SZ,-1,101|102,104,
-1,002440.SZ,-1,101|102,104,
-1,002698.SZ,-1,101|102,104,
-1,002998.SZ,-1,101|102,104,
-1,300406.SZ,-1,101|102,104,
-1,300760.SZ,-1,101|102,104,
-1,301101.SZ,-1,101|102,104,
-1,688089.SH,-1,101|102,104,
-1,603899.SH,-1,101|102,104,
-1,688356.SH,-1,101|102,104,
-1,688050.SH,-1,101|102,104,
-1,603033.SH,-1,101|102,104,
-1,688351.SH,-1,101|102,104,
-1,603345.SH,-1,101|102,104,
-1,688156.SH,-1,101|102,104,
-1,603551.SH,-1,101|102,104,
-1,688550.SH,-1,101|102,104,
-1,603518.SH,-1,101|102,104,
-1,688466.SH,-1,101|102,104,
-1,603968.SH,-1,101|102,104,
-1,600612.SH,-1,101|102,104,
-1,688076.SH,-1,101|102,104,
-1,688161.SH,-1,101|102,104,
-1,600620.SH,-1,101|102,104,
-1,603505.SH,-1,101|102,104,
-1,603786.SH,-1,101|102,104,
-1,688776.SH,-1,101|102,104,
-1,688338.SH,-1,101|102,104,
-1,605339.SH,-1,101|102,104,
-1,603225.SH,-1,101|102,104,
-1,603866.SH,-1,101|102,104,
-1,688777.SH,-1,101|102,104,
-1,688786.SH,-1,101|102,104,
-1,688332.SH,-1,101|102,104,
-1,600177.SH,-1,101|102,104,
-1,688113.SH,-1,101|102,104,
-1,688377.SH,-1,101|102,104,
-1,603233.SH,-1,101|102,104,
-1,600007.SH,-1,101|102,104,
-1,601577.SH,-1,101|102,104,
-1,688122.SH,-1,101|102,104,
-1,601985.SH,-1,101|102,104,
-1,688186.SH,-1,101|102,104,
-1,688428.SH,-1,101|102,104,
-1,688275.SH,-1,101|102,104,
-1,603580.SH,-1,101|102,104,
-1,688133.SH,-1,101|102,104,
-1,603991.SH,-1,101|102,104,
-1,603707.SH,-1,101|102,104,
-1,605116.SH,-1,101|102,104,
-1,688439.SH,-1,101|102,104,
-1,603031.SH,-1,101|102,104,
-1,603565.SH,-1,101|102,104,
-1,688012.SH,-1,101|102,104,
-1,603730.SH,-1,101|102,104,
-1,688302.SH,-1,101|102,104,
-1,688617.SH,-1,101|102,104,
-1,688187.SH,-1,101|102,104,
-1,600583.SH,-1,101|102,104,
-1,688036.SH,-1,101|102,104,
-1,688711.SH,-1,101|102,104,
-1,688197.SH,-1,101|102,104,
-1,688107.SH,-1,101|102,104,
-1,688235.SH,-1,101|102,104,
-1,600167.SH,-1,101|102,104,
-1,600778.SH,-1,101|102,104,
-1,603566.SH,-1,101|102,104,
-1,603599.SH,-1,101|102,104,
-1,688551.SH,-1,101|102,104,
-1,688789.SH,-1,101|102,104,
-1,600489.SH,-1,101|102,104,
-1,600861.SH,-1,101|102,104,
-1,688129.SH,-1,101|102,104,
-1,603039.SH,-1,101|102,104,
-1,601021.SH,-1,101|102,104,
-1,688628.SH,-1,101|102,104,
-1,688016.SH,-1,101|102,104,
-1,688630.SH,-1,101|102,104,
-1,688108.SH,-1,101|102,104,
-1,605077.SH,-1,101|102,104,
-1,688103.SH,-1,101|102,104,
-1,688031.SH,-1,101|102,104,
-1,688577.SH,-1,101|102,104,
-1,688069.SH,-1,101|102,104,
-1,688166.SH,-1,101|102,104,
-1,688052.SH,-1,101|102,104,
-1,601965.SH,-1,101|102,104,
-1,688368.SH,-1,101|102,104,
-1,688131.SH,-1,101|102,104,
-1,688227.SH,-1,101|102,104,
-1,688157.SH,-1,101|102,104,
-1,688139.SH,-1,101|102,104,
-1,603179.SH,-1,101|102,104,
-1,603129.SH,-1,101|102,104,
-1,688051.SH,-1,101|102,104,
-1,600266.SH,-1,101|102,104,
-1,688071.SH,-1,101|102,104,
-1,688456.SH,-1,101|102,104,
-1,603958.SH,-1,101|102,104,
-1,688217.SH,-1,101|102,104,
-1,688312.SH,-1,101|102,104,
-1,688281.SH,-1,101|102,104,
-1,688680.SH,-1,101|102,104,
-1,603277.SH,-1,101|102,104,
-1,603195.SH,-1,101|102,104,
-1,600039.SH,-1,101|102,104,
-1,688667.SH,-1,101|102,104,
-1,688125.SH,-1,101|102,104,
-1,688366.SH,-1,101|102,104,
-1,688326.SH,-1,101|102,104,
-1,688270.SH,-1,101|102,104,
-1,600563.SH,-1,101|102,104,
-1,601058.SH,-1,101|102,104,
-1,688278.SH,-1,101|102,104,
-1,688598.SH,-1,101|102,104,
-1,688169.SH,-1,101|102,104,
-1,603711.SH,-1,101|102,104,
-1,688331.SH,-1,101|102,104,
-1,688300.SH,-1,101|102,104,
-1,688037.SH,-1,101|102,104,
-1,688023.SH,-1,101|102,104,
-1,600012.SH,-1,101|102,104,
-1,603208.SH,-1,101|102,104,
-1,603979.SH,-1,101|102,104,
-1,603868.SH,-1,101|102,104,
-1,688382.SH,-1,101|102,104,
-1,688019.SH,-1,101|102,104,
-1,688311.SH,-1,101|102,104,
-1,688120.SH,-1,101|102,104,
-1,603713.SH,-1,101|102,104,
-1,688357.SH,-1,101|102,104,
-1,603966.SH,-1,101|102,104,
-1,688639.SH,-1,101|102,104,
-1,600642.SH,-1,101|102,104,
-1,688099.SH,-1,101|102,104,
-1,688279.SH,-1,101|102,104,
-1,688080.SH,-1,101|102,104,
-1,603272.SH,-1,101|102,104,
-1,603600.SH,-1,101|102,104,
-1,688018.SH,-1,101|102,104,
-1,688505.SH,-1,101|102,104,
-1,688290.SH,-1,101|102,104,
-1,603303.SH,-1,101|102,104,
-1,688283.SH,-1,101|102,104,
-1,688567.SH,-1,101|102,104,
-1,688768.SH,-1,101|102,104,
-1,688435.SH,-1,101|102,104,
-1,605168.SH,-1,101|102,104,
-1,688179.SH,-1,101|102,104,
-1,603826.SH,-1,101|102,104,
-1,688520.SH,-1,101|102,104,
-1,605566.SH,-1,101|102,104,
-1,603192.SH,-1,101|102,104,
-1,688358.SH,-1,101|102,104,
-1,601816.SH,-1,101|102,104,
-1,688083.SH,-1,101|102,104,
-1,688269.SH,-1,101|102,104,
-1,688072.SH,-1,101|102,104,
-1,688506.SH,-1,101|102,104,
-1,603488.SH,-1,101|102,104,
-1,688690.SH,-1,101|102,104,
-1,601100.SH,-1,101|102,104,
-1,688339.SH,-1,101|102,104,
-1,688625.SH,-1,101|102,104,
-1,688265.SH,-1,101|102,104,
-1,688301.SH,-1,101|102,104,
-1,600615.SH,-1,101|102,104,
-1,688261.SH,-1,101|102,104,
-1,688002.SH,-1,101|102,104,
-1,600761.SH,-1,101|102,104,
-1,688335.SH,-1,101|102,104,
-1,688323.SH,-1,101|102,104,
-1,603444.SH,-1,101|102,104,
-1,603043.SH,-1,101|102,104,
-1,688701.SH,-1,101|102,104,
-1,688032.SH,-1,101|102,104,
-1,603948.SH,-1,101|102,104,
-1,688788.SH,-1,101|102,104,
-1,600455.SH,-1,101|102,104,
-1,605499.SH,-1,101|102,104,
-1,688329.SH,-1,101|102,104,
-1,688082.SH,-1,101|102,104,
-1,688337.SH,-1,101|102,104,
-1,688234.SH,-1,101|102,104,
-1,688258.SH,-1,101|102,104,
-1,688516.SH,-1,101|102,104,
-1,688633.SH,-1,101|102,104,
-1,688153.SH,-1,101|102,104,
-1,600048.SH,-1,101|102,104,
-1,688580.SH,-1,101|102,104,
-1,605259.SH,-1,101|102,104,
-1,688236.SH,-1,101|102,104,
-1,688389.SH,-1,101|102,104,
-1,601686.SH,-1,101|102,104,
-1,603297.SH,-1,101|102,104,
-1,600885.SH,-1,101|102,104,
-1,688656.SH,-1,101|102,104,
-1,688392.SH,-1,101|102,104,
-1,601799.SH,-1,101|102,104,
-1,688696.SH,-1,101|102,104,
-1,603855.SH,-1,101|102,104,
-1,688114.SH,-1,101|102,104,
-1,600696.SH,-1,101|102,104,
-1,603060.SH,-1,101|102,104,
-1,688558.SH,-1,101|102,104,
-1,603739.SH,-1,101|102,104,
-1,601886.SH,-1,101|102,104,
-1,688193.SH,-1,101|102,104,
-1,688212.SH,-1,101|102,104,
-1,603355.SH,-1,101|102,104,
-1,688367.SH,-1,101|102,104,
-1,688370.SH,-1,101|102,104,
-1,688618.SH,-1,101|102,104,
-1,688626.SH,-1,101|102,104,
-1,600436.SH,-1,101|102,104,
-1,688798.SH,-1,101|102,104,
-1,688006.SH,-1,101|102,104,
-1,688059.SH,-1,101|102,104,
-1,605599.SH,-1,101|102,104,
-1,600883.SH,-1,101|102,104,
-1,688084.SH,-1,101|102,104,
-1,688188.SH,-1,101|102,104,
-1,688766.SH,-1,101|102,104,
-1,600729.SH,-1,101|102,104,
-1,688085.SH,-1,101|102,104,
-1,688778.SH,-1,101|102,104,
-1,688410.SH,-1,101|102,104,
-1,601998.SH,-1,101|102,104,
-1,605060.SH,-1,101|102,104,
-1,688575.SH,-1,101|102,104,
-1,688200.SH,-1,101|102,104,
-1,688686.SH,-1,101|102,104,
-1,688196.SH,-1,101|102,104,
-1,688027.SH,-1,101|102,104,
-1,688095.SH,-1,101|102,104,
-1,601006.SH,-1,101|102,104,
-1,603801.SH,-1,101|102,104,
-1,605377.SH,-1,101|102,104,
-1,688198.SH,-1,101|102,104,
-1,600129.SH,-1,101|102,104,
-1,688600.SH,-1,101|102,104,
-1,688665.SH,-1,101|102,104,
-1,688091.SH,-1,101|102,104,
-1,603838.SH,-1,101|102,104,
-1,603658.SH,-1,101|102,104,
-1,603499.SH,-1,101|102,104,
-1,688578.SH,-1,101|102,104,
-1,600350.SH,-1,101|102,104,
-1,605266.SH,-1,101|102,104,
-1,688192.SH,-1,101|102,104,
-1,688213.SH,-1,101|102,104,
-1,688333.SH,-1,101|102,104,
