accountS,symbol,security_type,order_type,strategy_alias,note
-1,-1,-1,-1,103,Defult
175,-1,-1,101|102,103,
173,-1,-1,101|102,103,
169,-1,-1,101|102,103,
-1,000910.SZ,-1,101|102,104,
-1,002267.SZ,-1,101|102,104,
-1,003000.SZ,-1,101|102,104,
-1,000930.SZ,-1,101|102,104,
-1,002294.SZ,-1,101|102,104,
-1,300683.SZ,-1,101|102,104,
-1,300530.SZ,-1,101|102,104,
-1,300820.SZ,-1,101|102,104,
-1,300856.SZ,-1,101|102,104,
-1,300908.SZ,-1,101|102,104,
-1,000559.SZ,-1,101|102,104,
-1,002484.SZ,-1,101|102,104,
-1,300003.SZ,-1,101|102,104,
-1,000403.SZ,-1,101|102,104,
-1,000789.SZ,-1,101|102,104,
-1,002099.SZ,-1,101|102,104,
-1,002154.SZ,-1,101|102,104,
-1,002595.SZ,-1,101|102,104,
-1,002633.SZ,-1,101|102,104,
-1,002793.SZ,-1,101|102,104,
-1,002718.SZ,-1,101|102,104,
-1,003006.SZ,-1,101|102,104,
-1,300012.SZ,-1,101|102,104,
-1,300953.SZ,-1,101|102,104,
-1,002025.SZ,-1,101|102,104,
-1,002244.SZ,-1,101|102,104,
-1,002293.SZ,-1,101|102,104,
-1,002461.SZ,-1,101|102,104,
-1,002930.SZ,-1,101|102,104,
-1,300965.SZ,-1,101|102,104,
-1,002203.SZ,-1,101|102,104,
-1,002429.SZ,-1,101|102,104,
-1,300761.SZ,-1,101|102,104,
-1,300855.SZ,-1,101|102,104,
-1,300938.SZ,-1,101|102,104,
-1,301150.SZ,-1,101|102,104,
-1,301336.SZ,-1,101|102,104,
-1,002032.SZ,-1,101|102,104,
-1,002430.SZ,-1,101|102,104,
-1,002465.SZ,-1,101|102,104,
-1,300886.SZ,-1,101|102,104,
-1,301003.SZ,-1,101|102,104,
-1,301333.SZ,-1,101|102,104,
-1,002381.SZ,-1,101|102,104,
-1,002901.SZ,-1,101|102,104,
-1,300385.SZ,-1,101|102,104,
-1,300841.SZ,-1,101|102,104,
-1,000028.SZ,-1,101|102,104,
-1,301113.SZ,-1,101|102,104,
-1,000425.SZ,-1,101|102,104,
-1,000690.SZ,-1,101|102,104,
-1,002387.SZ,-1,101|102,104,
-1,002884.SZ,-1,101|102,104,
-1,002648.SZ,-1,101|102,104,
-1,300470.SZ,-1,101|102,104,
-1,300717.SZ,-1,101|102,104,
-1,301035.SZ,-1,101|102,104,
-1,002399.SZ,-1,101|102,104,
-1,002478.SZ,-1,101|102,104,
-1,002841.SZ,-1,101|102,104,
-1,300314.SZ,-1,101|102,104,
-1,301188.SZ,-1,101|102,104,
-1,300887.SZ,-1,101|102,104,
-1,000429.SZ,-1,101|102,104,
-1,002016.SZ,-1,101|102,104,
-1,300316.SZ,-1,101|102,104,
-1,301070.SZ,-1,101|102,104,
-1,301206.SZ,-1,101|102,104,
-1,301080.SZ,-1,101|102,104,
-1,301363.SZ,-1,101|102,104,
-1,000521.SZ,-1,101|102,104,
-1,002311.SZ,-1,101|102,104,
-1,002653.SZ,-1,101|102,104,
-1,002851.SZ,-1,101|102,104,
-1,300034.SZ,-1,101|102,104,
-1,300487.SZ,-1,101|102,104,
-1,002028.SZ,-1,101|102,104,
-1,001914.SZ,-1,101|102,104,
-1,002563.SZ,-1,101|102,104,
-1,300395.SZ,-1,101|102,104,
-1,300865.SZ,-1,101|102,104,
-1,301047.SZ,-1,101|102,104,
-1,001965.SZ,-1,101|102,104,
-1,002064.SZ,-1,101|102,104,
-1,002967.SZ,-1,101|102,104,
-1,300910.SZ,-1,101|102,104,
-1,300832.SZ,-1,101|102,104,
-1,300298.SZ,-1,101|102,104,
-1,300396.SZ,-1,101|102,104,
-1,301263.SZ,-1,101|102,104,
-1,002850.SZ,-1,101|102,104,
-1,002991.SZ,-1,101|102,104,
-1,300321.SZ,-1,101|102,104,
-1,000061.SZ,-1,101|102,104,
-1,002327.SZ,-1,101|102,104,
-1,300408.SZ,-1,101|102,104,
-1,300695.SZ,-1,101|102,104,
-1,301019.SZ,-1,101|102,104,
-1,000877.SZ,-1,101|102,104,
-1,002014.SZ,-1,101|102,104,
-1,002262.SZ,-1,101|102,104,
-1,002541.SZ,-1,101|102,104,
-1,002774.SZ,-1,101|102,104,
-1,300492.SZ,-1,101|102,104,
-1,300920.SZ,-1,101|102,104,
-1,002003.SZ,-1,101|102,104,
-1,002088.SZ,-1,101|102,104,
-1,002221.SZ,-1,101|102,104,
-1,002698.SZ,-1,101|102,104,
-1,300406.SZ,-1,101|102,104,
-1,300619.SZ,-1,101|102,104,
-1,300760.SZ,-1,101|102,104,
-1,688089.SH,-1,101|102,104,
-1,688190.SH,-1,101|102,104,
-1,688372.SH,-1,101|102,104,
-1,603899.SH,-1,101|102,104,
-1,688356.SH,-1,101|102,104,
-1,603033.SH,-1,101|102,104,
-1,688521.SH,-1,101|102,104,
-1,688156.SH,-1,101|102,104,
-1,603551.SH,-1,101|102,104,
-1,688466.SH,-1,101|102,104,
-1,603968.SH,-1,101|102,104,
-1,688076.SH,-1,101|102,104,
-1,688066.SH,-1,101|102,104,
-1,688268.SH,-1,101|102,104,
-1,605003.SH,-1,101|102,104,
-1,688161.SH,-1,101|102,104,
-1,600620.SH,-1,101|102,104,
-1,603505.SH,-1,101|102,104,
-1,688776.SH,-1,101|102,104,
-1,688486.SH,-1,101|102,104,
-1,600377.SH,-1,101|102,104,
-1,605318.SH,-1,101|102,104,
-1,688338.SH,-1,101|102,104,
-1,605339.SH,-1,101|102,104,
-1,603225.SH,-1,101|102,104,
-1,603866.SH,-1,101|102,104,
-1,688383.SH,-1,101|102,104,
-1,688332.SH,-1,101|102,104,
-1,600177.SH,-1,101|102,104,
-1,688184.SH,-1,101|102,104,
-1,688377.SH,-1,101|102,104,
-1,688315.SH,-1,101|102,104,
-1,603233.SH,-1,101|102,104,
-1,600007.SH,-1,101|102,104,
-1,601577.SH,-1,101|102,104,
-1,688122.SH,-1,101|102,104,
-1,601985.SH,-1,101|102,104,
-1,688186.SH,-1,101|102,104,
-1,688275.SH,-1,101|102,104,
-1,688058.SH,-1,101|102,104,
-1,603991.SH,-1,101|102,104,
-1,603707.SH,-1,101|102,104,
-1,605116.SH,-1,101|102,104,
-1,688439.SH,-1,101|102,104,
-1,603031.SH,-1,101|102,104,
-1,603565.SH,-1,101|102,104,
-1,688617.SH,-1,101|102,104,
-1,688187.SH,-1,101|102,104,
-1,688036.SH,-1,101|102,104,
