交易日期,账户名称,资金账号,证券代码,证券名称,证券类别,交易市场,买入方向,卖出方向,母单编号,篮子编号,算法实例,母单状态,委托标识,任务数量,已平数量,买入成交数量,卖出成交数量,买入成交均价,卖出成交均价,买入成交金额,卖出成交金额,收盘价,敞口数量,开始时间,结束时间,子单委托笔数,子单撤单笔数,时段市场交易量占比(%),交易费用,其他费用,费前收益,净收益
20230601	,jltest2	,202305181001	,000058.SZ	,深赛格,股票,深交所,买入,卖出,6880527336890000100	,202360192253471761	,kf_t0	,过期,正常,150000,0,0,0,0.000,0.000,0.00,0.00,6.230,0,09:30:00	,14:50:00	,0,0,0.00000000,0.00,0.00,0.00,0.00
20230601	,jltest2	,202305181001	,000035.SZ	,中国天楹,股票,深交所,买入,卖出,6880527336890000300	,202360192253471660	,kf_t0	,过期,正常,108000,0,0,0,0.000,0.000,0.00,0.00,4.800,0,09:30:00	,14:50:00	,0,0,0.00000000,0.00,0.00,0.00,0.00
20230601	,jltest2	,202305181001	,000030.SZ	,富奥股份,股票,深交所,买入,卖出,6880527336890000500	,202360192253471559	,kf_t0	,过期,正常,408000,0,0,0,0.000,0.000,0.00,0.00,4.790,0,09:30:00	,14:50:00	,0,0,0.00000000,0.00,0.00,0.00,0.00
20230601	,jltest2	,202305181001	,000517.SZ	,荣安地产,股票,深交所,买入,卖出,6880527336890000700	,202360192253471863	,kf_t0	,过期,正常,144000,0,0,0,0.000,0.000,0.00,0.00,2.930,0,09:30:00	,14:50:00	,0,0,0.00000000,0.00,0.00,0.00,0.00
20230601	,jltest2	,202305181001	,000088.SZ	,盐田港,股票,深交所,买入,卖出,6880527336890000900	,202360192253471762	,kf_t0	,过期,正常,606000,0,0,0,0.000,0.000,0.00,0.00,4.940,0,09:30:00	,14:50:00	,0,0,0.00000000,0.00,0.00,0.00,0.00
20230601	,jltest2	,202305181001	,000546.SZ	,金圆股份,股票,深交所,买入,卖出,6880527336890001100	,202360192253471964	,kf_t0	,过期,正常,51000,0,0,0,0.000,0.000,0.00,0.00,7.850,0,09:30:00	,14:50:00	,0,0,0.00000000,0.00,0.00,0.00,0.00
20230601	,jltest2	,202305181001	,000601.SZ	,韶能股份,股票,深交所,买入,卖出,6880527336890001300	,202360192253472166	,kf_t0	,过期,正常,408000,0,0,0,0.000,0.000,0.00,0.00,4.600,0,09:30:00	,14:50:00	,0,0,0.00000000,0.00,0.00,0.00,0.00
20230601	,jltest2	,202305181001	,000582.SZ	,北部湾港,股票,深交所,买入,卖出,6880527336890001500	,202360192253472065	,kf_t0	,过期,正常,371200,0,0,0,0.000,0.000,0.00,0.00,7.920,0,09:30:00	,14:50:00	,0,0,0.00000000,0.00,0.00,0.00,0.00
20230601	,jltest2	,202305181001	,000718.SZ	,苏宁环球,股票,深交所,买入,卖出,6880527336890001700	,202360192253472268	,kf_t0	,过期,正常,1093500,0,0,0,0.000,0.000,0.00,0.00,2.780,0,09:30:00	,14:50:00	,0,0,0.00000000,0.00,0.00,0.00,0.00
20230601	,jltest2	,202305181001	,000881.SZ	,中广核技,股票,深交所,买入,卖出,6880527336890001900	,202360192253472470	,kf_t0	,拒绝,正常,0,0,0,0,0.000,0.000,0.00,0.00,7.940,0,09:30:00	,14:50:00	,0,0,0.00000000,0.00,0.00,0.00,0.00
20230601	,jltest2	,202305181001	,000652.SZ	,泰达股份,股票,深交所,买入,卖出,6880527336890002100	,202360192253472167	,kf_t0	,过期,正常,77200,0,0,0,0.000,0.000,0.00,0.00,4.120,0,09:30:00	,14:50:00	,0,0,0.00000000,0.00,0.00,0.00,0.00
20230601	,jltest2	,202305181001	,000813.SZ	,德展健康,股票,深交所,买入,卖出,6880527336890002300	,202360192253472369	,kf_t0	,过期,正常,327000,0,0,0,0.000,0.000,0.00,0.00,3.120,0,09:30:00	,14:50:00	,0,0,0.00000000,0.00,0.00,0.00,0.00
20230601	,jltest2	,202305181001	,002023.SZ	,海特高新,股票,深交所,买入,卖出,6880527336890002500	,202360192253472674	,kf_t0	,过期,正常,6000,0,0,0,0.000,0.000,0.00,0.00,8.800,0,09:30:00	,14:50:00	,0,0,0.00000000,0.00,0.00,0.00,0.00
