交易日期,账户名称,资金账号,证券代码,证券名称,证券类别,交易市场,交易方向,母单编号,篮子编号,算法类型,算法实例,母单状态,任务数量,成交数量,成交金额,成交均价,交易费用,其他费用,开始时间,结束时间,子单委托笔数,子单撤单笔数,时段市场交易量占比(%),状态标识,TWAP价格,VWAP价格,基准绩效(BPS),基准绩效(元)
20230601	,jltest2	,202305181001	,000088.SZ	,盐田港,股票,深交所,卖出,6880527336830000100	,20236019225287822	,VWAP	,kf_vwap_plus	,全部成交,10100,10100,49803.00,4.931,0.00,53.72,09:30:00	,10:30:00	,50,7,0.54712300,正常,4.9309416666,4.9307634803,0.46,2.29
20230601	,jltest2	,202305181001	,000652.SZ	,泰达股份,股票,深交所,卖出,6880527336830000300	,20236019225287834	,VWAP	,kf_vwap_plus	,全部成交,5200,5200,21313.00,4.099,0.00,22.99,09:30:00	,10:30:00	,7,1,0.22973271,正常,4.1014041666,4.1011698696,-6.14,-13.08
20230601	,jltest2	,202305181001	,000881.SZ	,中广核技,股票,深交所,卖出,6880527336830000500	,20236019225287845	,VWAP	,kf_vwap_plus	,全部成交,2200,2200,17401.00,7.910,0.00,18.77,09:30:00	,10:30:00	,4,0,0.24925337,正常,7.9013125000,7.8993401583,12.90,22.45
20230601	,jltest2	,202305181001	,000935.SZ	,四川双马,股票,深交所,卖出,6880527336830000700	,20236019225287886	,VWAP	,kf_vwap_plus	,全部成交,1700,1700,28770.00,16.924,0.00,31.03,09:30:00	,10:30:00	,3,0,0.15698587,正常,16.8939583333,16.8713057530,30.86,88.78
20230601	,jltest2	,202305181001	,000582.SZ	,北部湾港,股票,深交所,卖出,6880527336830000900	,20236019225287833	,VWAP	,kf_vwap_plus	,全部成交,8200,8200,65419.00,7.978,0.00,70.57,09:30:00	,10:30:00	,6,0,0.22881367,正常,7.9875541666,7.9840628489,-7.69,-50.32
20230601	,jltest2	,202305181001	,000968.SZ	,蓝焰控股,股票,深交所,卖出,6880527336830001100	,20236019225287897	,VWAP	,kf_vwap_plus	,全部成交,2000,2000,15476.00,7.738,0.00,16.69,09:30:00	,10:30:00	,3,0,0.22885914,正常,7.7470500000,7.7356242132,3.07,4.75
20230601	,jltest2	,202305181001	,002267.SZ	,陕天然气,股票,深交所,卖出,6880527336830001300	,202360192252879311	,VWAP	,kf_vwap_plus	,全部成交,8200,8200,63961.00,7.800,0.00,68.99,09:30:00	,10:30:00	,3,0,0.45064726,正常,7.8005958333,7.7973906424,3.50,22.40
20230601	,jltest2	,202305181001	,002239.SZ	,奥特佳,股票,深交所,卖出,6880527336830001500	,202360192252879210	,VWAP	,kf_vwap_plus	,全部成交,10700,10700,26933.00,2.517,0.00,29.05,09:30:00	,10:30:00	,13,1,0.18165733,正常,2.5193374999,2.5158655606,4.92,13.24
20230601	,jltest2	,202305181001	,002023.SZ	,海特高新,股票,深交所,卖出,6880527336830001700	,20236019225287908	,VWAP	,kf_vwap_plus	,全部成交,400,400,3464.00,8.660,0.00,3.74,09:30:00	,10:30:00	,1,0,0.02418175,正常,8.6842124999,8.6631524538,-3.64,-1.26
20230601	,jltest2	,202305181001	,002042.SZ	,华孚时尚,股票,深交所,卖出,6880527336830001900	,20236019225287919	,VWAP	,kf_vwap_plus	,全部成交,5400,5400,17106.00,3.168,0.00,18.45,09:30:00	,10:30:00	,7,3,0.10159160,正常,3.1656749999,3.1614241637,20.06,34.31
20230601	,jltest2	,202305181001	,002285.SZ	,世联行,股票,深交所,卖出,6880527336830002100	,202360192252879412	,VWAP	,kf_vwap_plus	,全部成交,4000,4000,10064.00,2.516,0.00,10.86,09:30:00	,10:30:00	,2,0,0.06248184,正常,2.5043416666,2.5057801951,40.62,40.88
20230601	,jltest2	,202305181001	,002344.SZ	,海宁皮城,股票,深交所,卖出,6880527336830002300	,202360192252879513	,VWAP	,kf_vwap_plus	,全部成交,5200,5200,26245.00,5.047,0.00,28.31,09:30:00	,10:30:00	,3,0,0.08464644,正常,5.0538458333,5.0553309350,-16.28,-42.72
