日期,账户名称,资金账户,证券类别,交易方向,算法实例,任务金额,成交金额,交易费用,其他费用,基准绩效(BPS),基准绩效(元)
20230601	,202304181002,jltest1,股票,买入,kf_vwap_plus,8772996.00,8772996.00,0.00,690.40,0.57,501.94
20230601	,202304181002,jltest1,股票,卖出,kf_vwap_plus,8734467.00,8734467.00,0.00,9421.82,3.38,2950.80
20230601	,202305181001,jltest2,股票,买入,kf_vwap_plus,779174.00,779174.00,0.00,61.31,3.03,236.09
20230601	,202305181001,jltest2,股票,卖出,kf_vwap_plus,776859.00,776859.00,0.00,837.97,4.62,358.89
20230602	,202304181002,jltest1,股票,买入,kf_vwap_plus,7696604.00,7696604.00,0.00,605.69,5.37,4132.06
20230602	,202304181002,jltest1,股票,卖出,kf_vwap_plus,7671533.00,7671533.00,0.00,8275.23,-6.39,-4901.96
20230602	,202305181001,jltest2,股票,买入,kf_vwap_plus,686788.00,686788.00,0.00,54.04,8.05,553.02
20230602	,202305181001,jltest2,股票,卖出,kf_vwap_plus,682390.00,682390.00,0.00,736.08,-9.89,-674.79
20230605	,202304181002,jltest1,股票,买入,kf_vwap_plus,6505330.00,6505330.00,0.00,511.94,2.56,1668.36
20230605	,202304181002,jltest1,股票,卖出,kf_vwap_plus,6477370.63,6477370.63,0.00,6987.11,-3.04,-1966.66
20230605	,202305181001,jltest2,股票,买入,kf_vwap_plus,578716.00,578716.00,0.00,45.53,3.27,189.01
20230605	,202305181001,jltest2,股票,卖出,kf_vwap_plus,572324.80,572324.80,0.00,617.35,0.14,8.06
20230606	,202304181002,jltest1,股票,买入,kf_vwap_plus,6017293.00,6017293.00,0.00,473.54,-0.90,-542.70
20230606	,202304181002,jltest1,股票,卖出,kf_vwap_plus,6003299.41,6003299.41,0.00,6475.72,-2.17,-1301.41
20230606	,202305181001,jltest2,股票,买入,kf_vwap_plus,535640.00,535640.00,0.00,42.14,2.94,157.52
20230606	,202305181001,jltest2,股票,卖出,kf_vwap_plus,533941.61,533941.61,0.00,575.95,0.67,35.65
20230607	,202304181002,jltest1,股票,买入,kf_vwap_plus,4396808.00,4396808.00,0.00,345.99,-1.62,-710.56
