accountS,symbol,security_type,order_type,strategy_alias,note
-1,-1,-1,-1,103,Defult
-1,003000.SZ,-1,101|102,104,
-1,300037.SZ,-1,101|102,104,
-1,300416.SZ,-1,101|102,104,
-1,300908.SZ,-1,101|102,104,
-1,301086.SZ,-1,101|102,104,
-1,301267.SZ,-1,101|102,104,
-1,002242.SZ,-1,101|102,104,
-1,003020.SZ,-1,101|102,104,
-1,000157.SZ,-1,101|102,104,
-1,000789.SZ,-1,101|102,104,
-1,002154.SZ,-1,101|102,104,
-1,002595.SZ,-1,101|102,104,
-1,300012.SZ,-1,101|102,104,
-1,300596.SZ,-1,101|102,104,
-1,000596.SZ,-1,101|102,104,
-1,002293.SZ,-1,101|102,104,
-1,002811.SZ,-1,101|102,104,
-1,002930.SZ,-1,101|102,104,
-1,300965.SZ,-1,101|102,104,
-1,002203.SZ,-1,101|102,104,
-1,002376.SZ,-1,101|102,104,
-1,002959.SZ,-1,101|102,104,
-1,300761.SZ,-1,101|102,104,
-1,300855.SZ,-1,101|102,104,
-1,003031.SZ,-1,101|102,104,
-1,000695.SZ,-1,101|102,104,
-1,002032.SZ,-1,101|102,104,
-1,300281.SZ,-1,101|102,104,
-1,301333.SZ,-1,101|102,104,
-1,002299.SZ,-1,101|102,104,
-1,002381.SZ,-1,101|102,104,
-1,003041.SZ,-1,101|102,104,
-1,300841.SZ,-1,101|102,104,
-1,002044.SZ,-1,101|102,104,
-1,002318.SZ,-1,101|102,104,
-1,300119.SZ,-1,101|102,104,
-1,000690.SZ,-1,101|102,104,
-1,300470.SZ,-1,101|102,104,
-1,300811.SZ,-1,101|102,104,
-1,000967.SZ,-1,101|102,104,
-1,002399.SZ,-1,101|102,104,
-1,002575.SZ,-1,101|102,104,
-1,002637.SZ,-1,101|102,104,
-1,002841.SZ,-1,101|102,104,
-1,002832.SZ,-1,101|102,104,
-1,301239.SZ,-1,101|102,104,
-1,002016.SZ,-1,101|102,104,
-1,002981.SZ,-1,101|102,104,
-1,301122.SZ,-1,101|102,104,
-1,300896.SZ,-1,101|102,104,
-1,301037.SZ,-1,101|102,104,
-1,301080.SZ,-1,101|102,104,
-1,301193.SZ,-1,101|102,104,
-1,301363.SZ,-1,101|102,104,
-1,000869.SZ,-1,101|102,104,
-1,001218.SZ,-1,101|102,104,
