Date,ClientName,Side,Symbol,QuoteID,ClOrdID,OrderID,TransactTime,OrderQty,OrdType,Price,AvgPx,CumQty,LeavesQty,OrdStatus,Fee,FilledValue,OtherFee,AlgoNote,BasketID,username,ip,mac
2023-06-09,yytz_888867600047,S,003816.SZ,"20875132397000043	","2350248645454919680	","2350248645454919680	","93000675	",8100,"Limit	",3.05,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,000750.SZ,"20875132397000011	","2350249882405500937	","2350249882405500937	","93000678	",7200,"Limit	",3.42,3.42,7200,0,"Filled	",0.0,-24624.0,26.561909,1,,,,
2023-06-09,yytz_888867600047,S,000415.SZ,"20875132397000005	","2350249951124977666	","2350249951124977666	","93000679	",7900,"Limit	",2.23,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,601003.SH,"20875132397000073	","2350250294722361344	","2350250294722361344	","93000682	",300,"Limit	",4.15,4.15,300,0,"Filled	",0.0,-1245.0,1.342982,1,,,,
2023-06-09,yytz_888867600047,S,600170.SH,"20875132397000061	","2350250432161314822	","2350250432161314822	","93000684	",9300,"Limit	",2.73,2.73,9300,0,"Filled	",0.0,-25389.0,27.387114,1,,,,
2023-06-09,yytz_888867600047,B,000048.SZ,"20875132397000002	","2350317227492702208	","2350317227492702208	","93001618	",300,"Limit	",20.33,20.3,300,0,"Filled	",0.0,6090.0,0.479283,1,,,,
2023-06-09,yytz_888867600047,S,600845.SH,"20875132397000071	","2350317571090085889	","2350317571090085889	","93001623	",400,"Limit	",44.99,44.99,400,0,"Filled	",0.0,-17996.0,19.412285,1,,,,
2023-06-09,yytz_888867600047,S,601003.SH,"20875132397000073	","2350592517716506624	","2350592517716506624	","93005624	",200,"Limit	",4.15,4.15,200,0,"Filled	",0.0,-830.0,0.895321,1,,,,
2023-06-09,yytz_888867600047,S,600197.SH,"20875132397000062	","2350661237193242624	","2350661237193242624	","93006624	",1100,"Limit	",26.91,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,B,000409.SZ,"20875132397000004	","2350935702783326208	","2350935702783326208	","93010618	",2400,"Limit	",8.66,8.66,2400,0,"Filled	",0.0,20784.0,1.635701,1,,,,
