交易日期,账户名称,资金账号,证券代码,证券名称,证券类别,交易市场,交易方向,母单编号,篮子编号,算法类型,算法实例,母单状态,任务数量,成交数量,成交金额,成交均价,交易费用,其他费用,开始时间,结束时间,子单委托笔数,子单撤单笔数,时段市场交易量占比(%),状态标识,TWAP价格,VWAP价格,基准绩效(BPS),基准绩效(元)
20230606	,永誉天泽经纶四号信用	,1263062_5102_5102	,000301.SZ	,东方盛虹,股票,深交所,卖出,6880532326820000100	,	,VWAP	,kf_vwap_plus	,全部成交,100,100,1161.00,11.610,0.00,1.16,09:30:00	,10:00:00	,1,0,0.00241721,正常,11.5274249999,11.5227341782,75.16,8.73
20230606	,永誉天泽经纶四号信用	,1263062_5102_5102	,000415.SZ	,渤海租赁,股票,深交所,卖出,6880532326820000200	,	,VWAP	,kf_vwap_plus	,全部成交,27100,27100,59513.00,2.196,0.00,59.51,09:30:00	,10:00:00	,7,5,0.62379126,正常,2.2019166666,2.1997909033,-17.03,-101.33
20230606	,永誉天泽经纶四号信用	,1263062_5102_5102	,000528.SZ	,柳工,股票,深交所,买入,6880532326820000300	,	,VWAP	,kf_vwap_plus	,全部成交,3900,3900,28763.00,7.375,0.00,0.00,09:30:00	,10:00:00	,2,0,0.15291299,正常,7.4023166666,7.3979258724,30.91,88.91
20230606	,永誉天泽经纶四号信用	,1263062_5102_5102	,000630.SZ	,铜陵有色,股票,深交所,买入,6880532326820000400	,	,VWAP	,kf_vwap_plus	,全部成交,1100,1100,3223.00,2.930,0.00,0.00,09:30:00	,10:00:00	,1,0,0.00855688,正常,2.9402166666,2.9399434327,33.94,10.94
20230606	,永誉天泽经纶四号信用	,1263062_5102_5102	,000683.SZ	,远兴能源,股票,深交所,卖出,6880532326820000500	,	,VWAP	,kf_vwap_plus	,全部成交,4800,4800,32781.00,6.829,0.00,32.78,09:30:00	,10:00:00	,3,0,0.06344138,正常,6.8317833333,6.8353312961,-8.72,-28.59
20230606	,永誉天泽经纶四号信用	,1263062_5102_5102	,000750.SZ	,国海证券,股票,深交所,买入,6880532326820000600	,	,VWAP	,kf_vwap_plus	,全部成交,21600,21600,73872.00,3.420,0.00,0.00,09:30:00	,10:00:00	,6,3,0.53973688,正常,3.4168166666,3.4191256762,-2.56,-18.89
20230606	,永誉天泽经纶四号信用	,1263062_5102_5102	,002025.SZ	,航天电器,股票,深交所,买入,6880532326820000700	,	,VWAP	,kf_vwap_plus	,全部成交,200,200,11595.00,57.975,0.00,0.00,09:30:00	,10:00:00	,2,1,0.04914005,正常,57.9620250000,57.9721597051,-0.49,-0.57
20230606	,永誉天泽经纶四号信用	,1263062_5102_5102	,002027.SZ	,分众传媒,股票,深交所,买入,6880532326820000800	,	,VWAP	,kf_vwap_plus	,全部成交,1200,1200,7812.00,6.510,0.00,0.00,09:30:00	,10:00:00	,1,0,0.01050367,正常,6.5481999999,6.5441000894,52.38,40.92
20230606	,永誉天泽经纶四号信用	,1263062_5102_5102	,002038.SZ	,双鹭药业,股票,深交所,买入,6880532326820000900	,	,VWAP	,kf_vwap_plus	,全部成交,2800,2800,27191.00,9.711,0.00,0.00,09:30:00	,10:00:00	,7,4,0.01691862,正常,9.7214166666,9.8032555650,94.93,258.12
20230606	,永誉天泽经纶四号信用	,1263062_5102_5102	,002187.SZ	,广百股份,股票,深交所,卖出,6880532326820001000	,	,VWAP	,kf_vwap_plus	,全部成交,100,100,680.00,6.800,0.00,0.68,09:30:00	,10:00:00	,1,0,0.00914160,正常,6.8062166666,6.8050134335,-7.37,-0.50
20230606	,永誉天泽经纶四号信用	,1263062_5102_5102	,002238.SZ	,天威视讯,股票,深交所,卖出,6880532326820001100	,	,VWAP	,kf_vwap_plus	,全部成交,1000,1000,7530.00,7.530,0.00,7.53,09:30:00	,10:00:00	,1,0,0.05267316,正常,7.5160166666,7.5138978140,21.38,16.10
20230606	,永誉天泽经纶四号信用	,1263062_5102_5102	,002388.SZ	,新亚制程,股票,深交所,卖出,6880532326820001200	,	,VWAP	,kf_vwap_plus	,全部成交,100,100,690.00,6.900,0.00,0.69,09:30:00	,10:00:00	,1,0,0.00492538,正常,6.8431500000,6.8345870068,94.80,6.54
20230606	,永誉天泽经纶四号信用	,1263062_5102_5102	,002448.SZ	,中原内配,股票,深交所,卖出,6880532326820001300	,	,VWAP	,kf_vwap_plus	,全部成交,100,100,684.00,6.840,0.00,0.68,09:30:00	,10:00:00	,1,0,0.00285510,正常,6.8540583333,6.8471648822,-10.47,-0.72
20230606	,永誉天泽经纶四号信用	,1263062_5102_5102	,002588.SZ	,史丹利,股票,深交所,卖出,6880532326820001400	,	,VWAP	,kf_vwap_plus	,全部成交,200,200,1256.00,6.280,0.00,1.26,09:30:00	,10:00:00	,1,0,0.01088139,正常,6.2758333333,6.2796496191,0.56,0.07
20230606	,永誉天泽经纶四号信用	,1263062_5102_5102	,002641.SZ	,公元股份,股票,深交所,卖出,6880532326820001500	,	,VWAP	,kf_vwap_plus	,全部成交,1700,1700,9299.00,5.470,0.00,9.30,09:30:00	,10:00:00	,2,1,0.02910560,正常,5.4680166666,5.4799595945,-18.21,-16.93
20230606	,永誉天泽经纶四号信用	,1263062_5102_5102	,002739.SZ	,万达电影,股票,深交所,买入,6880532326820001600	,	,VWAP	,kf_vwap_plus	,全部成交,100,100,1247.00,12.470,0.00,0.00,09:30:00	,10:00:00	,1,0,0.00099311,正常,12.5798166666,12.5842517712,91.62,11.43
