Date,ClientName,Side,Symbol,QuoteID,ClOrdID,OrderID,TransactTime,OrderQty,OrdType,Price,AvgPx,CumQty,LeavesQty,OrdStatus,Fee,FilledValue,OtherFee,AlgoNote,BasketID
2022-06-14,ruiyan1,B,601238.SH,"20838434203000072	","1030835234301000010	","0241000319	","93141270	",300,"Limit	",16.28,16.28,300,0,"Filled	",0.7326,4884.0,0.433211,2,
2022-06-14,ruifeng6,B,601238.SH,"20838434203000156	","1030835234301000011	","0391000190	","93141270	",1100,"Limit	",16.28,16.28,1100,0,"Filled	",2.6862,17908.0,1.58844,2,
2022-06-14,ruiding2,B,601238.SH,"20838434204000040	","1030835234301000012	","0241000320	","93141270	",400,"Limit	",16.28,16.28,400,0,"Filled	",0.9768,6512.0,0.577614,2,
2022-06-14,ruizeng8,B,601238.SH,"20838434205000068	","1030835234301000013	","0391000191	","93141270	",500,"Limit	",16.28,16.28,500,0,"Filled	",1.221,8140.0,0.722018,2,
2022-06-14,ruiyan1,B,601238.SH,"20838434203000072	","1030835234301000014	","0241000321	","93141772	",700,"Limit	",16.29,16.29,700,0,"Filled	",1.71045,11403.0,1.011446,2,
2022-06-14,ruifeng6,B,601238.SH,"20838434203000156	","1030835234301000015	","0391000192	","93141772	",3800,"Limit	",16.29,16.29,3800,0,"Filled	",9.2853,61902.0,5.490707,2,
2022-06-14,ruiding2,B,601238.SH,"20838434204000040	","1030835234301000016	","0241000322	","93141772	",1100,"Limit	",16.29,16.29,1100,0,"Filled	",2.68785,17919.0,1.589415,2,
2022-06-14,ruizeng8,B,601238.SH,"20838434205000068	","1030835234301000017	","0391000193	","93141772	",1400,"Limit	",16.29,16.29,1400,0,"Filled	",3.4209,22806.0,2.022892,2,
2022-06-14,ruiyan1,S,601238.SH,"20838434203000072	","1030835234361000011	","0241000686	","93241805	",1000,"Limit	",16.22,16.22,1000,0,"Filled	",2.433,-16220.0,17.658714,2,
2022-06-14,ruifeng6,S,601238.SH,"20838434203000156	","1030835234361000012	","0391000254	","93241805	",4900,"Limit	",16.22,16.22,4900,0,"Filled	",11.9217,-79478.0,86.527699,2,
2022-06-14,ruiding2,S,601238.SH,"20838434204000040	","1030835234361000013	","0241000687	","93241805	",1500,"Limit	",16.22,16.22,1500,0,"Filled	",3.6495,-24330.0,26.488071,2,
2022-06-14,ruizeng8,S,601238.SH,"20838434205000068	","1030835234361000014	","0391000255	","93241805	",1900,"Limit	",16.22,16.22,1900,0,"Filled	",4.6227,-30818.0,33.551557,2,
2022-06-14,ruiyan1,B,600536.SH,"20838434203000061	","1030835234403000018	","0241000774	","93323425	",300,"Limit	",39.91,39.91,300,0,"Filled	",1.79595,11973.0,1.062005,2,
2022-06-14,ruifeng6,B,600536.SH,"20838434203000145	","1030835234403000019	","0391000282	","93323426	",1600,"Limit	",39.91,39.91,1600,0,"Filled	",9.5784,63856.0,5.664027,2,
2022-06-14,ruiding2,B,600536.SH,"20838434204000029	","1030835234403000020	","0241000773	","93323426	",500,"Limit	",39.91,39.91,500,0,"Filled	",2.99325,19955.0,1.770008,2,
2022-06-14,ruizeng8,B,600536.SH,"20838434205000046	","1030835234403000021	","0391000281	","93323426	",600,"Limit	",39.91,39.91,600,0,"Filled	",3.5919,23946.0,2.12401,2,
2022-06-14,ruiyan1,S,002389.SZ,"20838434203000031	","1030835234459000002	","GD20000531	","93419953	",900,"Limit	",17.63,0.0,0,0,"Canceled	",0.0,0.0,0.0,2,
2022-06-14,ruifeng6,S,002389.SZ,"20838434203000115	","1030835234459000003	","GG22000437	","93419953	",4600,"Limit	",17.63,0.0,0,0,"Canceled	",0.0,0.0,0.0,2,
2022-06-14,ruiding2,S,002389.SZ,"20838434203000200	","1030835234459000004	","GD20000532	","93419953	",1400,"Limit	",17.63,0.0,0,0,"Canceled	",0.0,0.0,0.0,2,
2022-06-14,ruizeng8,S,002389.SZ,"20838434205000059	","1030835234459000005	","GG22000438	","93419953	",1700,"Limit	",17.63,0.0,0,0,"Canceled	",0.0,0.0,0.0,2,
2022-06-14,ruiyan1,S,600536.SH,"20838434203000061	","1030835234463000003	","0241000885	","93423456	",300,"Limit	",40.06,40.06,300,0,"Filled	",1.8027,-12018.0,13.083997,2,
2022-06-14,ruifeng6,S,600536.SH,"20838434203000145	","1030835234463000004	","0391000317	","93423456	",1600,"Limit	",40.06,40.06,1600,0,"Filled	",9.6144,-64096.0,69.781315,2,
2022-06-14,ruiding2,S,600536.SH,"20838434204000029	","1030835234463000005	","0241000886	","93423456	",500,"Limit	",40.06,40.06,500,0,"Filled	",3.0045,-20030.0,21.806661,2,
2022-06-14,ruizeng8,S,600536.SH,"20838434205000046	","1030835234463000006	","0391000318	","93423456	",600,"Limit	",40.06,40.06,600,0,"Filled	",3.6054,-24036.0,26.167993,2,
2022-06-14,ruifeng6,S,000536.SZ,"20838434514000035	","1030835234517000000	","GG22000482	","93517120	",100,"Limit	",1.96,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,
